DoctorNo,DoctorID,RoomNo,FirstName,SecondName,GovHospital,BasicPayment($),Experience(years)
4050,AV1b9k_s-gnIPe8DXFFA,50,NADINE,ASTRID,Woodland Heights Medical Center,276.69,3
4051,AWoy-_HNcuP9ADUB44Tl,51,NADINE,ATHENA,Allegiance Specialty Hospital Of Kilgore,172.764,1
4052,AVwdpHiy_7pvs4fz75ux,52,NADINE,ATLAS,Medical Arts Hospital,4.224,15
4053,AWoy-CwZsVYjT2BJ2_L0,53,NAEL,AUBREE,Stephens Memorial Hospital,409.272,1
4054,AVwd-ZCmByjofQCxuKvG,54,NAFTALI,AUBREY,Memorial Hospital,55.44,2
4055,AVwdLXNp_7pvs4fz3EQn,55,NAFTALI,AUBREY,The Medical Center Of Southeast Texas,20.928,10
4056,AWhDjgHwRxPSIh2R8V-6,56,NAFTULA,AUDREY,Methodist Richardson Medical Center,1801.632,16
4057,AVwc8dru_7pvs4fz0oeN,57,NAHLA,AUDREY,Covenant Hospital Plainview,67.176,5
4058,AVwdo58M_7pvs4fz73dG,58,NAILAH,AUDREY,Abilene Regional Medical Center,646.2,3
4059,AWoseLRvcuP9ADUB3z_y,59,NALA,AUGUST,Baylor Scott & White Medical Center  Grapevine,72.744,8
4060,AWitvnrbIxWefVJwE_LU,60,NALA,AUGUST,Palo Pinto General Hospital,572.16,9
4061,AV4rAioXIxWefVJwkVPT,61,NALA,AUGUSTUS,Shannon Medical Center,68.112,11
4062,AWkqTiNl3-Khe5l_2p1Z,62,NALANI,AURORA,Christus Jasper Memorial Hospital,25.032,16
4063,AWkqi4eSa4HuVbedkRa1,63,NANA,AURORA,Hemphill County Hospital,39.992,37
4064,AWkqxgqia4HuVbedkUZB,64,NANCY,AURORA,Wilbarger General Hospital,20.016,2
4065,AWh-aScG3-Khe5l_ygEm,65,NAOMI,AUSTIN,Seymour Hospital,3.104,25
4066,AVwc74BCIN2L1WUfqgRI,66,NAOMI,AUSTIN,Brownwood Regional Medical Center,7.52,12
4067,AVwddBd4ByjofQCxpSLL,67,NAOMI,AUTUMN,Lake Granbury Medical Center,10.272,6
4068,AVzA88sAFcQ3k02bBZG5,68,NAOMI,AVA,Cuero Regional Hospital,47.808,20
4069,AVwdrJPSIN2L1WUfyJys,69,NARA,AVA,Hill Country Memorial Hospital Inc,978.84,1
4070,AVwdNENDkufWRAb53Zx4,70,NARIAH,AVERIE,Care Regional Medical Center,13.14,1
4071,AVzBCKob-gnIPe8DSiBd,71,NASHLY,AVERY,Memorial Hermann Memorial City Medical Center,10.024,19
4072,AWFhAB9La4HuVbedOUSQ,72,NASIR,AVERY,Clear Lake Regional Medical Center,156.3728,3
4073,AVwcuYiQ_7pvs4fzyR30,73,NATALEE,AVI,Medical City Denton,999.98,1
4074,AWosda9iZ4Yw-wtdVnE1,74,NATALIA,AVIANA,Houston Northwest Medical Center,821.94,15
4075,AWiFhPOJa4HuVbedgJND,75,NATALIA,AVIANA,Texas Health Harris Methodist Hurst-euless-bedford,220.064,1
4076,AV1dd2iYa4HuVbed6Wlc,76,NATALIA,AVIANNA,Nocona General Hospital,339.136,2
4077,AWNdVCqjRxPSIh2RunkV,77,NATALIE,AVIGDOR,Doctors Hospital Of Laredo,7.04,10
4078,AWE7QKlZ3-Khe5l_f1bf,78,NATALIE,AVIVA,West Houston Medical Center,5.04,16
4079,AWhdqzkARxPSIh2R9XaZ,79,NATALIE,AVNOOR,Medical City Dallas,116.28,5
4080,AWoSV12tQTFama1Xcl8h,80,NATALIE,AYA,Medical Center Of Plano,47.976,3
4081,AWkrEdee3-Khe5l_35DP,81,NATALIE,AYAN,Scenic Mountain Medical Center,60.048,8
4082,AWkq4xAma4HuVbedkj9l,82,NATALIE,AYANA,Starr County Memorial Hospital,5.022,9
4083,AWosfEbGcuP9ADUB300E,83,NATALIE,AYANA,Nacogdoches Medical Center,182.994,11
4084,AWkq0p2ya4HuVbedkbFx,84,NATALIE,AYLA,Freestone Medical Center,10.272,16
4085,AWkq_n1Va4HuVbedlC4Q,85,NATALIE,AYLEEN,Park Plaza Hospital,7.857,37
4086,AWjXNbrGa4HuVbedifg5,86,NATALIE,AYLIN,Odessa Regional Medical Center,302.384,2
4087,AV12iVKs3-Khe5l_Pl66,87,NATALYA,AYLIN,Valley Regional Medical Center,20.952,25
4088,AWBLDUwURxPSIh2RpO-_,88,NATHALIA,AZAAN,Sierra Medical Center,11.784,12
4089,AWdVwixz3-Khe5l_r58s,89,NATHALIA,AZARIAH,Medical Center Of Lewisville,638.82,6
4090,AVzBB6s5-gnIPe8DSh1k,90,NATHALY,AZIZA,Tomball Regional Medical Center,20.7,20
4091,AVweBags_7pvs4fz_WND,91,NATHALY,BAILEY,Plaza Medical Center Of Fort Worth,10.95,1
4092,AVwc2mc4_7pvs4fzzprp,92,NATHAN,BAILEY,"Womans Hospital Of Texas,the",14.352,1
4093,AWiLKKsnIxWefVJwDgra,93,NATHAN,BATSHEVA,Medical City Arlington,221.024,19
4094,AWkrDwEka4HuVbedlWcE,94,NATHAN,BECKETT,Texas Health Huguley Hospital Fort Worth South,3080,3
4095,AV0BIBjK3D1zeR_xDNBC,95,NATHAN,BEN,City Hospital At  White Rock,79.96,1
4096,AVwc1SUjIN2L1WUfpY-Q,96,NATHANIEL,BENJAMIN,Memorial Hermann Northeast,587.97,15
4097,AVweCna-ByjofQCxuwdi,97,NATHANIEL,BENJAMIN,University Medical Center,32.4,1
4098,AWkqipiz3-Khe5l_2wR8,98,NATHANIEL,BENJAMIN,Dallas Regional Medical Center,404.9,2
4099,AWezeae93-Khe5l_vDmI,99,NATHANIEL,BENSON,University Of Texas Health Science Center At Tyler,9449.95,10
4100,AVwdPLUrIN2L1WUftqpd,100,NAVA,BENTLEY,El Campo Memorial Hospital,12.94,16
4101,AVweBCockufWRAb5_Qj1,101,NAVEEN,BENTLEY,Southwest General Hospital,2.264,5
4102,AV0aAA6e-gnIPe8DVtSq,102,NAVRAJ,BENTLEY,Lamb Healthcare Center,0.444,3
4103,AWoseWvysVYjT2BJ2AZX,103,NAVY,BEREL,Longview Regional Medical Center,146.176,8
4104,AWiRUAXLa4HuVbedgSiG,104,NAYA,BIANCA,Houston Methodist St John Hospital,15.92,9
4105,AWkrFUSHa4HuVbedlcnN,105,NAYEL,BIANCA,Rio Grande Regional Hospital,159.96,11
4106,AVwdW4LEByjofQCxoRHg,106,NAYELI,BILAL,St David's South Austin Medical Center,13.76,16
4107,AWc416dnRxPSIh2R2Ys6,107,NAYELI,BINYAMIN,Cypress Fairbanks Medical Center,4.312,37
4108,AV12jn6QRxPSIh2Rce9d,108,NAYELY,BLAIR,Round Rock Medical Center,13.96,2
4109,AWkq_957a4HuVbedlET1,109,NAYLA,BLAKE,Methodist Charlton Medical Center,27.414,25
4110,AWkrFcst3-Khe5l_380F,110,NAZIR,BLAKE,Baylor Scott And White Medical Center Carrollton,73.98,12
4111,AVzBBA1s-gnIPe8DShHj,111,NAZLI,BLAKE,Baylor Scott And White Medical Center Lake Pointe,160.98,6
4112,AVzxrM1OLD2H7whiX9S5,112,NEAL,BORUCH,Texas Health Presbyterian Hospital Denton,17.34,20
4113,AWRgGlPC3-Khe5l_klYD,113,NECHA,BOUBACAR,Knox County Hospital,3.28,1
4114,AVwdfIMC_7pvs4fz6XSV,114,NECHEMIA,BRACHA,Palestine Regional Medical Center,8.856,1
4115,AWkvPff_3-Khe5l_4O05,115,NEFTALI,BRADY,Hamilton General Hospital,158.376,19
4116,AVweTtZtByjofQCxxEoZ,116,NEHAN,BRANDON,Covenant Hospital Levelland,1219.96,3
4117,AWnW3JKvcuP9ADUBxpOn,117,NEHEMIAH,BRAYAN,Ut Southwestern University Hospital-zale Lipshy,3.168,1
4118,AWkq1nmKRxPSIh2RCQZa,118,NEIL,BRAYDEN,Texas Health Presbyterian Hospital Plano,19.44,15
4119,AWkq1lk1RxPSIh2RCQSr,119,NEIL,BRAYDEN,Tops Surgical Specialty Hospital,454.86,1
4120,AVwekAwjkufWRAb5EHJX,120,NELLIE,BRAYDEN,Kingwood Medical Center,91.392,2
4121,AWiD5IzBa4HuVbedgETz,121,NELLIE,BRENDAN,Texas Health Harris Methodist Hospital Southwest F,19.04,10
4122,AV48UlISa4HuVbedASCV,122,NELLY,BRIANA,Methodist Ambulatory Surgery Hospital Nw,37.44,16
4123,AWkqyse53-Khe5l_21KN,123,NELSON,BRIELLA,"Corpus Christi Medical Center,the",37.59,5
4124,AVwc4tHG_7pvs4fz0ANE,124,NEO,BRIELLE,Us Pain & Spine Hospital,26.032,3
4125,AWhDN8gmRxPSIh2R8I2m,125,NETANEL,BRIELLE,Christus St Michael Health System,35.91,8
4126,AWDc2PRSa4HuVbedLCZl,126,NEVAEH,BRIELLE,United Memorial Medical Center,91.032,9
4127,AWE7UwHda4HuVbedNcB7,127,NEVAEH,BRIELLE,Texas Orthopedic Hospital,54.66,11
4128,AVwd5TXYkufWRAb5-MPD,128,NEVAEH,BRITTANY,Northwest Hills Surgical Hospital,67.344,16
4129,AWiD4AdaIxWefVJwDQzQ,129,NEYMAR,BRODY,North Austin Medical Center,2624.985,37
4130,AWEiCWwa3-Khe5l_fkkI,130,NEYMAR,BRODY,Houston Methodist Sugarland Hospital,73.28,2
4131,AVzxsTZJLD2H7whiX9a_,131,NGAWANG,BRODY,Medical City Las Colinas,14.48,25
4132,AWNaeB07IxWefVJw0PfG,132,NIA,BROOKE,Cornerstone Regional Hospital,11.952,12
4133,AV1eSlqQRxPSIh2RZ2QJ,133,NIA,BROOKE,Kell West Regional Hospital,15.552,6
4134,AVwcnACPIN2L1WUfm5yS,134,NIA,BROOKLYN,Christus Spohn Hospital Alice,45,20
4135,AWkrD0CzRxPSIh2RDJjS,135,NIAM,BROOKLYNN,Surgery Specialty Hospitals Of America Se Houston,209.97,1
4136,AVwd0Eii_7pvs4fz9f91,136,NICHOLAS,BRYANNA,Ennis Regional Medical Center,112.12,1
4137,AVweF116IN2L1WUf15sT,137,NICHOLAS,BRYCE,"Physicians Centre,the",1575.14,19
4138,AVwdF8ockufWRAb52OYv,138,NICHOLAS,BRYCE,Texas Health Presbyterian Hospital Allen,25.06,3
4139,AVwd38-1IN2L1WUfz90X,139,NICHOLE,BRYCE,Houston Methodist Willowbrook Hospital,6.924,1
4140,AWkw41iTIxWefVJwJNvN,140,NICK,BRYNN,El Paso Specialty Hospital,37.392,15
4141,AWOz2oXJIxWefVJw0tqo,141,NICK,BRYNN,Memorial Hermann Katy Hospital,79.12,1
4142,AV1dfNBxRxPSIh2RZdjU,142,NICO,BRYNN,Memorial Hermann Sugar Land Hospital,18.9,2
4143,AVwd2sK-kufWRAb591OD,143,NICO,BRYSON,Baylor Scott And White Heart And Vascular Hospital,57.42,10
4144,AWi0KbkHRxPSIh2R_qph,144,NICO,BRYSON,Baylor Medical Center At Frisco,12.74,16
4145,AWjITQqBa4HuVbediSKg,145,NICO,BRYSON,Harlingen Medical Center,8.82,5
4146,AV0v9Py0LD2H7whiZvHU,146,NICOLE,BRYSON,South Texas Spine And Surgical Hospital,120.784,3
4147,AVzBCKlb3D1zeR_xBFRd,147,NICOLE,BYRON,Sugar Land Surgical Hospital Llp,322.59,8
4148,AVzA85uiFcQ3k02bBZCz,148,NICOLETTE,CAIDEN,St Luke's The Woodlands Hospital,9.762,9
4149,AWkrFusQRxPSIh2RDRIM,149,NIKA,CAITLYN,Baylor Scott & White Texas Spine & Joint Hospital,13.72,11
4150,AWLerkSka4HuVbedPird,150,NIKHIL,CALLIE,Seton Southwest Hospital,55.2,16
4151,AWiKhY7k3-Khe5l_ysm7,151,NIKI,CAMDEN,Seton Northwest Hospital,259.136,37
4152,AVwdVgfgIN2L1WUfuu_Q,152,NIKO,CAMDEN,Doctors Hospital At Renaissance,29.24,2
4153,AWd2PRi4IxWefVJw-alZ,153,NIKO,CAMDEN,Arise Austin Medical Center,15.552,25
4154,AVwcktmP_7pvs4fzwmqP,154,NIKOLA,CAMERON,Usmd Hospital At Arlington L P,4.896,12
4155,AWkrCaGWRxPSIh2RDD-w,155,NIKOLAI,CAMERON,Baylor Surgical Hospital At Las Colinas,38.088,6
4156,AWoyW7VrsVYjT2BJ2u7b,156,NIKOLAOS,CAMERON,Quail Creek Surgical Hospital,2.808,20
4157,AWoyX8DmQTFama1XfklA,157,NIKOLAS,CAMILA,Lubbock Heart Hospital Lp,47.984,1
4158,AWoyZ6aXsVYjT2BJ2yEp,158,NIKOLAS,CAMILA,Foundation Surgical Hospital Of El Paso,26.064,1
4159,AWoyahxdQTFama1Xfmvi,159,NIKOLOZ,CAMILLA,Baylor Surgical Hospital At Fort Worth,15.696,19
4160,AWoyZruGcuP9ADUB4mQN,160,NILE,CAMILLE,Baylor Medical Center At Trophy Club,12.84,3
4161,AWoyVK7gQTFama1Xfcfz,161,NINA,CAMRYN,Baylor Scott &  White Medical Center - Centennial,539.97,1
4162,AWoyWToHQTFama1Xfg8C,162,NINA,CAMRYN,Texas Health Harris Methodist Hospital Southlake,22.58,15
4163,AWoyavMZZ4Yw-wtdWcNK,163,NOACH,CANDICE,Texas Institute For Surgery At Presbyterian Hospit,16.52,1
4164,AWoyXrbZQTFama1Xfj-_,164,NOAH,CARINA,Baylor Regional Medical Center At Plano,671.94,2
4165,AWoycwuHZ4Yw-wtdWdBx,165,NOAH,CARLOS,Texas Health Center For Diagnostics & Surgery Plan,169.064,10
4166,AWoyWvfacuP9ADUB4jIL,166,NOAH,CARLY,The Heart Hospital Baylor Denton,168.624,16
4167,AWoyUlT_sVYjT2BJ2lwE,167,NOAH,CARLY,Pine Creek Medical Center Llp,19.44,5
4168,AWoyX7GOQTFama1Xfki6,168,NOAH,CARMELO,Parmer County Community Hospital,31.92,3
4169,AWoydGYNsVYjT2BJ20r8,169,NOAH,CARMELO,Reagan Memorial Hospital,433.568,8
4170,AWoyXb5jcuP9ADUB4kjN,170,NOCHUM,CARMINE,Limestone Medical Center,31.104,9
4171,AWoybuYIQTFama1Xfnq1,171,NOEL,CAROL,Schleicher County Medical Center,54.816,11
4172,AWoyZDPZZ4Yw-wtdWZ-F,172,NOELLE,CAROLINA,Burleson St Joseph Health Center,48.86,16
4173,AWoyahICZ4Yw-wtdWbwo,173,NOELLE,CAROLINE,Kimble Hospital,14.2,37
4174,AWoyakEGQTFama1Xfmz1,174,NOELLE,CARSON,Iraan General Hospital,12.96,2
4175,AWoygz4MZ4Yw-wtdWeaA,175,NOELLE,CARTER,Yoakum County Hospital,58.34,25
4176,AWoyc6CLcuP9ADUB4pN-,176,NOEMI,CARTER,Mccamey Hospital,56.3,12
4177,AWoycC7-cuP9ADUB4o_f,177,NOEMI,CARTER,Ballinger Memorial Hospital,629.95,6
4178,AWoygNg8QTFama1XfomY,178,NOEMI,CASEY,Sweeny Community Hospital,122.97,20
4179,AWoyaJQIsVYjT2BJ2ykD,179,NOLAN,CASEY,Rice Medical Center,46.35,1
4180,AWoyUxTMZ4Yw-wtdWPbT,180,NOLAN,CASSANDRA,Fisher County Hospital District,14.976,1
4181,AWoyY631QTFama1Xfk61,181,NOLAN,CASSIDY,Winkler County Memorial Hospital,4.24,19
4182,AWoyWXeCcuP9ADUB4iLR,182,NOLAN,CASSIDY,North Runnels Hospital,319.96,3
4183,AWoyYmW2cuP9ADUB4l-r,183,NOLAN,CATALEYA,Madison St Joseph Health Center,17.04,1
4184,AWoyY-i_QTFama1Xfk7v,184,NOLAN,CATALINA,Refugio County Memorial Hospital,344.91,15
4185,AWoyYkuCcuP9ADUB4l-J,185,NOLEN,CATHERINE,Stonewall Memorial Hospital,81.94,1
4186,AWoyaOGeQTFama1XfmH_,186,NOOR,CAYDEN,Christus Mother Frances Hospital- Jacksonville,98.16,2
4187,AWoyab-TcuP9ADUB4nxM,187,NORA,CAYDEN,Bayside Community Hospital,6.874,10
4188,AWoyX9hoZ4Yw-wtdWZpL,188,NORA,CAYLEE,Grimes St Joseph Health Center,1.996,16
4189,AWoyj3yncuP9ADUB4rE7,189,NORA,CECILIA,Rollins Brook Community Hospital,8.928,5
4190,AWoycZ5KZ4Yw-wtdWc7L,190,NORA,CELESTE,Lillian M Hudspeth Memorial Hospital,9.99,3
4191,AWoyad_sQTFama1XfmoF,191,NORA,CELINA,Concho County Hospital,10499.97,8
4192,AWoyaDC4Z4Yw-wtdWayX,192,NORA,CELINE,Chillicothe Hospital District,21.12,9
4193,AWoyYtpPQTFama1Xfk3l,193,NORA,CESAR,Riceland Medical Center,696.42,11
4194,AWoyfIpYsVYjT2BJ20-V,194,NORA,CESAR,Rankin Hospital Medical Clinic,304.776,16
4195,AWoyYXVMcuP9ADUB4l54,195,NORA,CHANCE,Medina Regional Hospital,51.98,37
4196,AWoyZqTQsVYjT2BJ2xok,196,NORA,CHANEL,Coon Memorial Hospital,24.7,2
4197,AWoydevJZ4Yw-wtdWdMq,197,NORAH,CHARLENE,Palacios Community Medical Center,21.93,25
4198,AWoycVausVYjT2BJ20dh,198,NORAH,CHARLES,Martin County Hospital District,394.816,12
4199,AWoyU9nBsVYjT2BJ2nqt,199,NORI,CHARLES,Parkview Hospital,18.192,6
4200,AWoyh0SqQTFama1XfpqA,200,NOSSON,CHARLES,Muenster Memorial Hospital,7.31,20
4201,AWoycvdvsVYjT2BJ20kq,201,NOVA,CHARLIE,W J Mangold Memorial Hospital,799.984,1
4202,AWoyYjjUQTFama1Xfk0m,202,NOVA,CHARLIZE,Culberson Hospital,41.28,1
4203,AWoyZfCaQTFama1XflDn,203,NUSSEN,CHARLIZE,Throckmorton County Memorial Hospital,184.66,19
4204,AWoyc9-XcuP9ADUB4pPE,204,NUSSEN,CHARLOTTE,Shamrock General Hospital,49.25,3
4205,AWoyXFAHsVYjT2BJ2vRm,205,NYDIA,CHASE,Haskell Memorial Hospital,10.16,1
4206,AWoyXQmCsVYjT2BJ2vth,206,NYLA,CHASE,Mitchell County Hospital District,14.76,15
4207,AWoyXYpacuP9ADUB4kco,207,NYLA,CHASE,Electra Memorial Hospital,34.08,1
4208,AWoygY7hZ4Yw-wtdWd36,208,NYLA,CHASE,Hansford County Hospital,17.67,2
4209,AWoyV60WsVYjT2BJ2saf,209,NYLAH,CHAVY,Crosbyton Clinic Hospital,1604.9,10
4210,AWoyc6UZsVYjT2BJ20oI,210,NYLAH,CHELSEA,Yoakum Community Hospital,385.686,16
4211,AWoyUzOoQTFama1Xfapj,211,ODIN,CHELSEA,Coleman County Medical Center Company,15.984,5
4212,AWoya8XhZ4Yw-wtdWciM,212,ODIN,CHIARA,Heart Of Texas Memorial Hospital,9.42,3
4213,AWoyXu6zsVYjT2BJ2wms,213,OLIVE,CHLOE,Swisher Memorial Hospital,6.56,8
4214,AWoyWBK0sVYjT2BJ2sqn,214,OLIVER,CHLOE,Plains Memorial Hospital,24.56,9
4215,AWoyYk4mZ4Yw-wtdWZ2G,215,OLIVER,CHLOE,Lynn County Hospital District,128.4,11
4216,AWoyZHLvsVYjT2BJ2xfY,216,OLIVER,CHLOE,Hardeman County Memorial Hospital,62.28,16
4217,AWoyaryEsVYjT2BJ2zsQ,217,OLIVER,CHLOE,Crane County Hospital District,9.24,37
4218,AWoyarJjcuP9ADUB4oPN,218,OLIVER,CHRISTINA,Hamilton Hospital,482.664,2
4219,AWoyV1CXsVYjT2BJ2sM2,219,OLIVER,CHRISTINA,Collingsworth General Hospital,4799.984,25
4220,AWoyaZc3QTFama1Xfmev,220,OLIVER,CHRISTOPHER,Memorial Medical Center,37.94,12
4221,AWoyYb7scuP9ADUB4l7b,221,OLIVER,CHRISTOPHER,Little River Healthcare,18.288,6
4222,AWoyWmVCQTFama1Xfhqp,222,OLIVIA,CHRISTOPHER,Memorial Hospital,385.8,20
4223,AWoyU5EJZ4Yw-wtdWP8K,223,OLIVIA,CLAIRE,Ochiltree General Hospital,102.96,1
4224,AWoyUvtbQTFama1XfaWt,224,OLIVIA,CLAIRE,Chi St Lukes Health Memorial San Augustine,174.42,1
4225,AWoyZGxcsVYjT2BJ2xfQ,225,OLIVIA,CLARA,Sabine County Hospital,1.964,19
4226,AWoyahijcuP9ADUB4n8N,226,OLIVIER,CLARK,Clay County Memorial Hospital,94.428,3
4227,AWoyZMYzsVYjT2BJ2xhQ,227,OLUWATAMILORE,CLEO,Jackson Healthcare Center,45.92,1
4228,AWoyjddvcuP9ADUB4rDf,228,OM,CODY,Otto Kaiser Memorial Hospital,61.584,15
4229,AWoyXrADcuP9ADUB4lFi,229,OM,COLE,Seton Highland Lakes,22.48,1
4230,AWoye7OkcuP9ADUB4pjV,230,OMAR,COLE,Cochran Memorial Hospital,332.028,2
4231,AWoybzsNsVYjT2BJ20Uf,231,OMAR,COLETTE,Ut Health East Texas Pittsburg Hospital,11.394,10
4232,AWoyY68ksVYjT2BJ2xbu,232,OMARI,COLIN,Golden Plains Community Hospital,15.552,16
4233,AWoyUsoLZ4Yw-wtdWPDo,233,OMARI,COLTON,Tmc- Bonham Hospital,31.104,5
4234,AWoyZrmQcuP9ADUB4mQF,234,OMER,COLTON,Seton Edgar B Davis Hospital,6.316,3
4235,AWoyX-hzcuP9ADUB4lx9,235,ORA,COLTON,Muleshoe Area Medical Center,11.352,8
4236,AWoydFsesVYjT2BJ20rw,236,ORI,COLTON,Ward Memorial Hospital,20.808,9
4237,AWoyWJ3EsVYjT2BJ2tBa,237,ORIANNA,COLTON,Baylor Scott & White Medical Center -taylor,11.416,11
4238,AWoyXvK8QTFama1XfkHu,238,ORLA,COLTON,Liberty Dayton Regional Medical Center,9.408,16
4239,AWoybA57QTFama1Xfnfc,239,ORLANDO,COLTON,Lavaca Medical Center,19.83,37
4240,AWoycg1FQTFama1Xfn38,240,ORLI,CONNOR,Reeves County Hospital District,209.7,2
4241,AWoyaa7VQTFama1Xfmht,241,OSBORN,CONNOR,Big Bend Regional Medical Center,43.92,25
4242,AWoyaYb9sVYjT2BJ2zEH,242,OSCAR,CONRAD,Coryell Memorial Healthcare System,20.232,12
4243,AWoyWoecsVYjT2BJ2uMs,243,OSMAN,COREY,Ut Health East Texas Quitman Hospital,149.97,6
4244,AWoyWghQQTFama1XfhcK,244,OTIS,CORMAC,Christus Mother Frances Hospital- Winnsboro,27.81,20
4245,AWoycyILQTFama1Xfn8m,245,OTIS,CRISTIAN,Comanche County Medical Center,66.3,1
4246,AWoyalISsVYjT2BJ2zfK,246,OTTO,CRISTINA,Cogdell Memorial Hospital,1.64,1
4247,AWoyXTAjZ4Yw-wtdWYSo,247,OTTO,CRUZ,Goodall Witcher Hospital,1049.2,19
4248,AWoydHgCZ4Yw-wtdWdJE,248,OTTO,CRUZ,Memorial Hospital,20.9,3
4249,AWoykscZZ4Yw-wtdWe8b,249,OUSMANE,DAHLIA,Uvalde Memorial Hospital,88.08,1
4250,AWoyiD6EcuP9ADUB4q_O,250,OWEN,DAHLIA,Pecos County Memorial Hospital,751.92,15
4251,AWoycFXLsVYjT2BJ20Zh,251,OWEN,DAISY,Dimmit Regional Hospital,887.103,1
4252,AWoyYVNQcuP9ADUB4l5S,252,OWEN,DAISY,Frio Regional Hospital,55.944,2
4253,AWoyXG3WcuP9ADUB4j_f,253,OWEN,DAKOTA,Cook Childrens Medical Center,10.688,10
4254,AWoyXr5RZ4Yw-wtdWZCN,254,OWEN,DALIA,Driscoll Childrens Hospital,11.824,16
4255,AWoyYLEUcuP9ADUB4l2a,255,OWEN,DALLAS,Childrens Medical Ctr Of Dallas,63.312,5
4256,AWoyVMZjZ4Yw-wtdWRj6,256,OWEN,DAMIEN,Texas Childrens Hosp,96.784,3
4257,AWoyanmkQTFama1Xfm6v,257,OWEN,DANIEL,Covenant Childrens Hospital,10.476,8
4258,AWoyY3nUsVYjT2BJ2xa4,258,OWEN,DANIEL,Our Childrens House,9.762,9
4259,AWoyY0-RZ4Yw-wtdWZ6L,259,OWEN,DANIEL,Healthbridge Childrens's Hospital Of Houston,196.784,11
4260,AWoyatVyZ4Yw-wtdWcJw,260,PABLO,DANIEL,Dell Children's Medical Center Of Central Texas,47.98,16
4261,AWoyYfqOsVYjT2BJ2xUQ,261,PAISLEE,DANIELLE,Shriners Hospitals For Children,13.05,37
4262,AWoya91sQTFama1Xfneq,262,PAISLEY,DANIELLE,Shriners Hospitals For Children,63.96,2
4263,AWoybIJfcuP9ADUB4ovi,263,PAISLEY,DANNA,El Paso Children's Hospital,80.48,25
4264,AWoyZVCccuP9ADUB4mKc,264,PAISLEY,DANNY,Texas Scottish Rite Hospital For Children,11.673,12
4265,AWoyb2b0cuP9ADUB4o74,265,PAISLEY,DANTE,Children's Hospital Of San Antonio,863.128,6
4266,AWoyaNsDsVYjT2BJ2yuL,266,PAISLEY,DAPHNE,Childrens Medical Center Plano,3.564,20
4267,AWoyc9TlQTFama1XfoAY,267,PAISLEY,DARIEL,Utah Valley Hospital,956.6648,1
4268,AWoyVNhDcuP9ADUB4dze,268,PAMELA,DARIEL,Salt Lake Regional Medical Center,12.588,1
4269,AWoyXQtSQTFama1XfjNX,269,PANAGIOTA,DARIUS,Mckay Dee Hospital,171.96,19
4270,AWoyXsv3sVYjT2BJ2whf,270,PAOLA,DASH,Ogden Regional Medical Center,871.4,3
4271,AWoyYqoDZ4Yw-wtdWZ3w,271,PAPA,DAVID,Lds Hospital,692.472,1
4272,AWoyW0VzQTFama1XfiLW,272,PARIS,DAVID,Cedar City Hospital,207.76,15
4273,AWoykNYLZ4Yw-wtdWe7I,273,PARKER,DAVID,University Of Utah Hospitals And Clinics,71.928,1
4274,AWoyWSuhsVYjT2BJ2tWe,274,PARKER,DAWSON,Intermountain Medical Center,25.99,2
4275,AWoyU3_lcuP9ADUB4cFJ,275,PARKER,DAYANA,Castleview Hospital,3.592,10
4276,AWoya4pjZ4Yw-wtdWcgi,276,PARKER,DEAN,Mountain View Hospital,48.632,16
4277,AWoybId2Z4Yw-wtdWcle,277,PARKER,DELILAH,Mountain West Medical Center,323.1,5
4278,AWoyeSJpZ4Yw-wtdWdTo,278,PARKER,DEMETRIUS,Logan Regional Hospital,9099.93,3
4279,AWoycBgHsVYjT2BJ20Ya,279,PARKER,DENNIS,Brigham City Community Hospital,9.96,8
4280,AWoyc3U_sVYjT2BJ20nN,280,PARVINA,DENNIS,Uintah Basin Medical Center,25.3,9
4281,AWoyeybEcuP9ADUB4phz,281,PATRICIA,DEREK,Dixie Regional Medical Center,11.36,11
4282,AWoyavoacuP9ADUB4oYs,282,PATRICIA,DERRICK,American Fork Hospital,69.264,16
4283,AWoyX7zYcuP9ADUB4lso,283,PATRICK,DIANA,Sevier Valley Hospital,3.69,37
4284,AWoyaoc9Z4Yw-wtdWb_o,284,PATRICK,DIANA,Ashley Regional Medical Center,1103.97,2
4285,AWoyU-2gZ4Yw-wtdWQbR,285,PATRICK,DIEGO,Bear River Valley Hospital,246.1328,25
4286,AWoyb8XZQTFama1Xfnuy,286,PATRICK,DILAN,Davis Hospital And Medical Center,11.696,12
4287,AWoyYTkJZ4Yw-wtdWZxG,287,PATRICK,DOMINIC,Lakeview Hospital,439.992,6
4288,AWoyV4Q9sVYjT2BJ2sUw,288,PAUL,DOMINIC,Orem Community Hospital,64.784,20
4289,AWoyW5ksQTFama1XfiX-,289,PAUL,DONALD,Alta View Hospital,33.28,1
4290,AWoyaa54sVYjT2BJ2zJW,290,PAUL,DONOVAN,St Mark's Hospital,14.088,1
4291,AWoyVUsAQTFama1XfdTm,291,PAUL,DORIAN,The Orthopedic Specialty Hospital,11.16,19
4292,AWh_UOEp3-Khe5l_yht4,292,PAUL,DOUGLAS,Jordan Valley Medical Center,896.328,3
4293,AV4v3-gCa4HuVbed_s7K,293,PAULA,DOUGLAS,Timpanogos Regional Hospital,189,1
